IATA,Latitude,Longitude
HOU,34.36350297118406,-82.88198736453779
DAL,48.767857660247905,-77.25243983383393
LGA,43.29984854528513,-71.59967949094602
BOS,39.96646210492592,-104.72029058890786
SAN,28.900466011060914,-102.46502284160336
SJC,28.899863008405067,-119.36108360954786
MEM,26.452090304204987,-90.30319154022956
CVG,46.654403644373375,-122.84346357219547
ORD,40.02787529358022,-97.0641189120524
DTW,42.70181444490114,-92.4413219175454
DBQ,25.514612357395063,-107.80752487230293
SFO,49.247746304049855,-89.55000436585935
SNA,45.81106602001054,-123.16998500365703
CHA,30.308477766956905,-122.75910867504713
MKE,29.545624180177516,-75.6439663604205
PHL,29.585112746335845,-103.38856151532423
BOI,32.60605607398844,-117.37636924088692
IND,38.11891079080595,-93.66540439671174
TOL,35.7986254660529,-78.80038681408335
RST,32.28072850495105,-112.0507383501894
DSM,40.296322368059485,-87.62657145085998
TVC,28.487346516301045,-119.87915210037391
PHX,32.30361621338045,-121.89909672988354
LAX,34.15904608234229,-93.11872210591112
IYK,36.4017496054259,-92.56189270339361
ATL,44.62939903482534,-86.7542059101076
SAV,29.991844553958995,-81.4345199766403
DFW,37.855860960340294,-66.44887523224793
SGF,39.81036422155106,-94.02197910192828
FWA,26.161260317999943,-105.62261162352524
SBA,40.18862129753596,-77.28882831387779
ATW,29.263103092182288,-108.75006492427555
LGB,26.62628982463199,-98.66171475766183
PDX,48.722138431333335,-120.29261711946404
MSN,49.14080082686398,-123.47895539507255
ICT,45.20993370291153,-67.2410951193245
GRR,32.61534422933427,-74.84119276926765
SEA,27.441802850159597,-83.24154763437812
GRB,42.10582566280392,-100.46282333514381
DCA,36.00381234349003,-114.60234079574926
MDW,28.05095587111947,-115.61377743973483
PIA,37.37942275278176,-109.98542611012428
TYS,25.85971302788046,-92.04640011763277
CID,47.73301005196955,-82.12424463799627
FLL,31.469499540000424,-85.38815739693612
OKC,41.56305710884955,-108.20396618324344
CLT,32.792776902235275,-67.70808316020836
OMA,38.00170052944527,-80.7261849982539
CEC,38.667756983581995,-91.73875684931596
IAD,29.621361388138176,-88.29675522593887
FSD,49.239615694113965,-99.8239962543326
CLE,44.37832058402786,-110.13614062993055
JFK,48.48747353910473,-103.64163928092431
JAX,47.37068376069122,-79.52923337213785
SPI,39.94749947027713,-124.13639068221465
EWR,48.04685587557792,-118.03564156958502
PIT,27.212312551297988,-122.23984147869484
MBS,29.89957156047863,-122.5562718608618
BUF,26.13068222276345,-73.67236495933957
RDD,33.13325826908161,-82.78052843719857
MOD,34.71693224223705,-96.54957025476048
CMI,31.783725794347397,-119.12995036093992
PBI,45.718437728798236,-95.50304749299006
RIC,33.918833167339734,-96.59169375316606
OGG,32.02336274218452,-114.60788780539909
BNA,38.56740207895621,-98.96890104572162
CRW,28.523105624369066,-101.08971593615759
LEX,45.054924518850996,-88.04899411686702
ACT,26.863766091994272,-86.89438094794137
MRY,49.672173415012935,-122.28175941367734
TPA,44.306119232416435,-102.52324312241173
MFR,29.96789203835431,-87.44840505714582
BDL,25.13805292809006,-94.81182448519473
FLG,45.386535711370854,-73.61060952870066
BWI,42.671433596190425,-85.47838210286329
DEN,43.22517920102469,-115.22393437511423
RDU,44.281758667148644,-120.76587515597421
FAT,26.85111629335226,-86.45484330762106
LAS,33.96164321360681,-123.40932136750268
CAK,27.896726488128245,-89.8534651235922
TUL,46.57758564688984,-68.58618551450255
MFE,40.58245317068895,-90.47154932744726
XNA,33.27245062131623,-101.70980442760869
SMF,26.588958757150593,-86.40270689345881
SDF,32.774558042891556,-97.50482657050901
MSO,33.12958305066868,-92.2629926410439
ACV,43.2401544584516,-68.51211147340848
SLC,40.93893678388033,-101.83384173195354
CIC,47.18031856440817,-67.32856617056515
MCO,36.80537312904873,-70.67896148263617
BFL,27.98985614845754,-113.25253191264221
LAN,42.83111968057487,-120.83832194749007
STL,44.019626215422434,-118.9533199173544
RDM,39.03192993923741,-123.90669046090701
CLD,44.27417949886403,-119.3334223546443
RNO,37.34488990910977,-84.01959359501859
HRL,38.06832073454985,-120.72868109238627
IAH,35.68852545896374,-105.86146218237432
ONT,25.63547816860238,-74.30748134183273
IPL,27.69728567483261,-123.60368385585045
MSP,25.785729642168356,-76.13189104466386
FSM,40.91026028159451,-108.088713513596
BUR,32.85889952690817,-117.91011034270062
GEG,37.71426727911757,-83.19577007815096
OAK,47.689161848152324,-87.26342919320696
ITH,31.232305728721872,-72.35167918837682
